# Constructed from biom file																														
#OTU ID	C021-S239-L001	C022-S245-L001	C002-S256-L001	C003-S262-L001	C001-S250-L001	C041-S228-L001	C011-S268-L001	C023-S251-L001	C043-S240-L001	C052-S252-L001	C051-S246-L001	C053-S258-L001	C042-S234-L001	C031-S257-L001	C012-S227-L001	C013-S233-L001	T011-S235-L001	C033-S269-L001	W011-S259-L001	T021-S241-L001	W012-S265-L001	T041-S253-L001	T031-S247-L001	W021-S271-L001	C061-S264-L001	C063-S229-L001	W031-S236-L001	W022-S230-L001	C062-S270-L001	W032-S242-L001
7a25cb43860e01d500f776e5dc2e53be	34	25	0	0	0	11	8	93	18	11	0	7	1	60	13	31	0	53	0	0	0	0	0	2	3	0	2	28	5	3
c346bc013dbe7f661abb6f08456f9a1f	34	0	0	0	0	13	0	9	0	1	3	1	0	0	0	14	0	26	0	0	0	0	0	1	13	0	1	0	0	1
3fefac5d9fca8a97d41a8b0c89191a07	34	0	0	0	0	0	0	11	0	0	160	44	209	0	7	5	0	472	0	0	0	0	0	0	0	0	0	0	0	0
94ebd4046e3ec5fac118841a79cccd35	34	33	8	0	0	69	0	58	19	28	1	31	0	49	0	116	6	270	1	0	18	0	0	14	31	4	1	19	45	15
47fe7cb36d6fc3b59616fcff0d0c18ba	33	9	0	0	0	155	11	0	660	43	0	26	0	0	0	0	0	12	0	0	0	0	0	48	0	0	27	65	231	27
702285487ad294e9644d2eeb0fa5f1b2	33	0	0	0	0	50	1	84	240	11	28	14	0	0	337	148	0	47	2	0	1	0	0	3	102	0	4	7	38	3
ef2dc10172ad1f7cb330c129dab553e6	32	0	0	0	0	24	0	19	108	0	0	12	0	0	24	24	0	29	0	0	0	0	0	0	3	85	1	4	5	4
9fb46e5fe921cad800a5679c8e4923ea	32	7	0	0	0	79	5	81	220	31	81	48	10	12	209	114	0	84	0	0	5	0	0	4	217	554	18	17	145	33
e67eb9cd65da14877761d307c4c34e5f	32	0	0	0	0	14	0	17	25	0	0	0	0	3	0	1	0	50	0	0	1	0	0	0	0	0	0	0	0	0
8c5d06c1424556da51b7cb3c0b3fca24	32	0	0	0	0	31	0	13	153	0	0	1	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	2	0
de20100d855a3c78ddb4f03238f76761	32	0	0	0	0	34	1	77	63	43	41	40	40	2	31	71	0	68	0	0	2	0	0	0	111	231	8	32	31	23
b51a789e89ea0ec2f2503a21a94dd6c6	32	0	0	0	0	72	0	19	331	0	66	0	0	1	8	3	0	97	0	0	0	0	0	1	73	0	2	1	0	1
0189080c1b3b9d4979751d0e8110f860	31	0	0	0	0	0	10	24	0	0	6	0	15	29	0	0	0	0	1	0	0	0	0	0	0	37	0	9	0	22
a5cba13db4f590e75bf21178c7ded113	31	0	0	0	0	29	2	57	146	6	51	4	0	2	38	35	0	152	0	0	0	0	0	1	149	0	3	5	18	11
f4f0735724a88c7cb022f3b84cfa3627	30	20	0	0	0	43	0	86	156	2	0	0	0	0	85	99	0	34	0	0	0	0	0	0	26	0	2	0	7	0
61b7af46ae3b98fb1aa24b7c8ba10245	30	26	0	0	0	17	10	29	1	0	2	0	0	4	42	29	0	3	0	0	0	0	0	0	0	0	0	0	0	0
bf289570a1edd15bad70a4ebd37be458	30	0	0	0	0	7	0	59	8	1	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
