Feature ID	Taxon	Confidence						
794e3281b6765ce9bf6894799b4c0c46	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Actinomarinales	f__uncultured	g__uncultured	s__	0.9906049360864204
7a25cb43860e01d500f776e5dc2e53be	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.9999872602639713
c346bc013dbe7f661abb6f08456f9a1f	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__uncultured	s__	0.9254458974633091
3fefac5d9fca8a97d41a8b0c89191a07	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Crossiella	s__	0.9990901215235817
94ebd4046e3ec5fac118841a79cccd35	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.9988214746019182
47fe7cb36d6fc3b59616fcff0d0c18ba	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.9999998584284059
702285487ad294e9644d2eeb0fa5f1b2	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.9999999557211093
ef2dc10172ad1f7cb330c129dab553e6	d__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__uncultured	s__	0.8896804037753452
9fb46e5fe921cad800a5679c8e4923ea	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.9999998077257616
e67eb9cd65da14877761d307c4c34e5f	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosospira	s__	0.9953521532930659
8c5d06c1424556da51b7cb3c0b3fca24	d__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__MB-A2-108	f__MB-A2-108	g__MB-A2-108	s__	0.999968936
de20100d855a3c78ddb4f03238f76761	d__Bacteria	p__Acidobacteriota	0.981783486					
b51a789e89ea0ec2f2503a21a94dd6c6	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.999999804
0189080c1b3b9d4979751d0e8110f860	d__Bacteria	p__Latescibacterota	c__Latescibacterota	o__Latescibacterota	f__Latescibacterota	g__Latescibacterota	s__	0.9996221042317174
a5cba13db4f590e75bf21178c7ded113	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	0.9979734660484622				
f4f0735724a88c7cb022f3b84cfa3627	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.824519238
61b7af46ae3b98fb1aa24b7c8ba10245	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9949205935610171
bf289570a1edd15bad70a4ebd37be458	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera	s__	0.9835547270567131
d604d25ad9472fa3f70e4475693a4262	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__	0.9987781584494402
c85458ebf2cf54e00e2fac4b7bfc7c4f	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9902972269723198
08c3514fe1b24c09ba65ef882772d8d6	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__	0.8184858419290237
992c068cd1b0e4736ce48c406ce3a727	d__Bacteria	p__GAL15	c__GAL15	o__GAL15	f__GAL15	g__GAL15	s__	0.9999971353914635
92e1fb7c2230cd6b6aec4c9689ff6c2e	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__Subgroup_7	g__Subgroup_7	s__	0.9953107972311592
d5f43984743051f7230610f2a5a7ba34	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__uncultured	s__	0.9602731990589131
